,Color,Year of car manufacture,Length,price,Width,Brand Name,Transmission type,Seats,Body type,city,Car model,kilometer driven,Insurance Validity_value,Fuel type,Number of previous owners,Engine Displacement_value(cc)
0,8,2022,101,1150000.0,139,13,0,5.0,7,5,100,20000,5,4,1,998
1,57,2015,39,415000.00000000006,22,20,1,7.0,5,5,145,20687,2,4,1,1196
2,86,2021,98,750000.0,118,24,1,5.0,7,5,197,30000,5,4,1,999
3,116,2015,26,398000.0,38,9,1,5.0,2,5,82,59247,2,4,1,1086
4,86,2015,82,550000.0,70,8,1,5.0,2,5,61,50000,5,4,1,1199
5,138,2016,345,3300000.0,267,21,0,5.0,8,5,174,20000,2,1,1,2143
6,9,2016,45,453000.0,44,20,0,5.0,2,5,142,29403,2,4,1,998
7,57,2010,16,285000.0,39,20,1,5.0,2,5,135,42700,2,4,1,998
8,57,2018,300,5000000.0,216,1,0,5.0,7,5,18,23001,2,1,1,1995
9,8,2018,102,821000.0000000001,123,6,0,5.0,7,5,47,25925,2,4,2,1497
10,9,2021,101,865000.0,130,9,1,5.0,2,5,83,20000,5,4,1,1197
11,116,2019,81,792000.0,69,8,0,5.0,2,5,61,17711,2,4,1,1199
12,138,2020,301,4050000.0,177,1,0,5.0,8,5,11,50000,2,1,1,1995
13,86,2018,68,610000.0,103,20,1,5.0,2,5,158,50000,5,4,1,1197
14,138,2018,51,511000.00000000006,52,9,1,5.0,2,5,72,51125,2,4,2,1197
15,84,2019,98,710000.0,156,29,1,5.0,7,5,237,69233,2,1,1,1497
16,138,2017,186,1225000.0,165,12,1,5.0,7,5,94,65000,2,1,1,1956
17,14,2014,203,570000.0,73,8,1,5.0,8,5,58,93281,2,4,1,1497
18,138,2022,317,3900000.0,197,30,1,7.0,7,5,252,18000,2,1,1,2755
19,138,2014,93,375000.0,60,8,1,5.0,8,5,54,99225,2,4,2,1198
20,86,2016,17,275000.0,32,9,1,5.0,2,5,69,30000,5,4,1,998
21,116,2014,93,429000.0,60,8,1,5.0,8,5,54,30602,2,4,1,1198
22,110,2018,68,675000.0,103,20,1,5.0,2,5,158,64500,2,1,1,1248
23,138,2017,203,793000.0,73,8,1,5.0,8,5,58,46809,2,4,2,1497
24,138,2019,142,1425000.0,134,9,0,5.0,7,5,68,20000,2,1,1,1582
25,110,2020,100,1036000.0,126,9,0,5.0,7,5,79,21725,4,4,1,998
26,86,2016,203,800000.0,73,8,1,5.0,8,5,58,80000,5,4,1,1497
27,9,2013,355,1400000.0,270,0,0,5.0,8,5,4,88000,5,4,2,1984
28,8,2019,203,1088000.0,73,8,0,5.0,8,5,58,30360,4,4,2,1497
29,86,2017,101,590000.0,110,20,0,5.0,2,5,139,70000,5,4,2,1197
30,110,2016,51,568000.0,52,9,1,5.0,2,5,72,16246,2,4,1,1197
31,138,2017,30,400000.0,39,20,0,5.0,2,5,142,55000,2,4,2,998
32,138,2022,307,2790000.0,180,30,0,7.0,4,5,256,13000,2,4,1,2694
